isbn,num_ratings,avg_rating,title,author,primary_genre,coverImg,book_avg_rating
1573225789,92,8.25,the color of water: a black man's tribute to his white mother,james mcbride (goodreads author),Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401311300l/29209.jpg,4.09
0440236703,90,8.04,tell no one,harlan coben (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421365049l/43933.jpg,4.11
067102423X,90,7.94,bag of bones,stephen king (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365592796l/10589.jpg,3.9
0425175405,88,7.69,black notice,patricia cornwell (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388461944l/123598.jpg,3.88
0142001430,88,8.32,year of wonders,geraldine brooks (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327936622l/4965.jpg,4.01
080411109X,84,7.87,the hundred secret senses,amy tan (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869967l/690866.jpg,3.99
014029628X,80,7.86,girl in hyacinth blue,susan vreeland,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364742503l/321577.jpg,3.73
0061015725,77,7.57,prey,michael crichton,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556292204l/83763.jpg,3.76
0767900383,74,7.26,under the tuscan sun,frances mayes (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320524083l/480479.jpg,3.76
0425162443,73,7.36,the rapture of canaan,sheri reynolds (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442420479l/5180.jpg,3.82
0375703055,73,7.34,ellen foster,kaye gibbons,Young Adult,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924673l/277397.jpg,3.78
0446608815,72,7.42,pop goes the weasel,james patterson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409590172l/13143.jpg,4.0
0553582747,72,8.0,from the corner of his eye,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388275293l/65948.jpg,4.03
0060929871,69,7.86,brave new world,aldous huxley,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129.jpg,3.99
0446611085,69,7.67,suzanne's diary for nicholas,james patterson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404736778l/7494.jpg,4.17
0553279378,68,8.07,i know why the caged bird sings,maya angelou,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927l/13214.jpg,4.24
0452283205,68,7.46,falling angels,tracy chevalier (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327995250l/2872.jpg,3.58
0060921145,67,7.97,animal dreams,barbara kingsolver,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481663395l/77262.jpg,4.05
0679731148,67,8.0,a year in provence,peter mayle,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535746681l/40189.jpg,3.97
0060958022,67,7.6,five quarters of the orange,joanne harris (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583190215l/15096.jpg,3.86
0440235162,66,7.61,the smoke jumper,nicholas evans,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403193693l/9282.jpg,4.06
0553580221,65,7.75,false memory,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388447589l/182425.jpg,3.88
0451203771,65,7.6,scarlet feather,maeve binchy,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386926366l/41951.jpg,3.96
0679751521,64,7.47,midnight in the garden of good and evil,john berendt,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427166915l/386187.jpg,3.92
0446609404,63,7.51,cradle and all,james patterson (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436538932l/5575.jpg,3.86
0553579754,62,7.68,fear nothing,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519004798l/32432.jpg,3.99
0515130389,61,7.34,carolina moon,nora roberts (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347331523l/116012.jpg,4.06
0380813815,61,8.79,"lamb: the gospel according to biff, christ's childhood pal",christopher moore (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331419009l/28881.jpg,4.24
0743412028,59,7.61,pay it forward,catherine ryan hyde (goodreads author),Young Adult,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388936719l/215631.jpg,4.17
0425143325,59,7.83,without remorse,tom clancy,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310082706l/19668.jpg,4.18
014023313X,59,7.47,the stone diaries,carol shields,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1285159303l/77554.jpg,3.87
0394820371,58,8.55,the phantom tollbooth,norton juster,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485l/378.jpg,4.2
140003065X,58,8.05,a fine balance,rohinton mistry,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551173390l/5211.jpg,4.35
0452284449,56,7.84,the virgin blue,tracy chevalier (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395581883l/2873.jpg,3.66
0671867156,55,8.13,pretend you don't see her,mary higgins clark,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348643156l/842358.jpg,3.89
0385721420,54,7.33,three junes,julia glass (goodreads author),Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924179l/227593.jpg,3.57
0671758896,54,7.39,"loves music, loves to dance",mary higgins clark,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416640001l/170650.jpg,3.91
1573225517,52,8.35,high fidelity,nick hornby,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928082l/285092.jpg,3.93
014100018X,52,7.85,chocolat,joanne harris (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388674628l/47401.jpg,3.96
037570504X,51,7.14,"breath, eyes, memory",edwidge danticat,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423684958l/5186.jpg,3.89
0380727501,50,8.02,notes from a small island,bill bryson,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479653223l/28.jpg,3.92
0449912558,50,8.24,the sparrow,mary doria russell (goodreads author),Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1230829367l/334176.jpg,4.13
0140042598,49,8.27,on the road,jack kerouac,Adventure,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413588576l/70401.jpg,3.62
0446519138,49,7.88,simple abundance: a daybook of comfort and joy,sarah ban breathnach (goodreads author),Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431058847l/748862.jpg,3.97
0743437640,49,7.84,the mulberry tree,jude deveraux,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348718032l/871917.jpg,3.82
0802139256,49,8.02,peace like a river,leif enger,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436139976l/227571.jpg,4.0
0345427637,48,7.29,the angel of darkness,caleb carr (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433066571l/767307.jpg,4.0
1576737330,45,7.09,the prayer of jabez: breaking through to the blessed life,bruce h. wilkinson,Religion & Spirituality,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171499832l/103610.jpg,3.94
0446604844,45,7.22,total control,david baldacci (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266875l/226791.jpg,4.08
0425170349,45,7.42,rainbow six,tom clancy,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179305l/5720.jpg,4.09
0446608890,43,7.33,saving faith,david baldacci (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388190537l/15157.jpg,3.89
0451206525,42,7.74,dead sleep,greg iles (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439305513l/43996.jpg,4.05
0385482388,42,7.29,the mistress of spices,chitra banerjee divakaruni (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488839181l/94669.jpg,3.48
0385729332,42,7.93,the sisterhood of the traveling pants,ann brashares,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461611233l/452306.jpg,3.8
0446364800,41,7.76,the general's daughter,nelson demille (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334443536l/98427.jpg,4.09
0451208765,41,7.37,sleep no more,greg iles (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309203526l/534589.jpg,3.76
0451205421,41,7.49,the door to december,richard paige (pseudonym),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388257941l/32446.jpg,3.96
0440241413,41,7.63,confessions of a shopaholic,sophie kinsella (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546503932l/9416.jpg,3.65
0425178102,41,7.39,big trouble,dave barry,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429999879l/893731.jpg,3.82
0385720920,41,8.02,choke,chuck palahniuk (goodreads author),Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403186013l/29059.jpg,3.7
0312274920,41,7.9,round ireland with a fridge,tony hawks,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438308095l/23316.jpg,3.8
0553569155,40,7.25,seinlanguage,jerry seinfeld,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403191771l/231869.jpg,3.63
0671011375,40,7.88,death du jour,kathy reichs (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390961759l/128756.jpg,3.96
0452283442,40,7.68,the darwin awards: evolution in action,wendy northcutt,Science & Nature,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437084445l/63803.jpg,3.64
0425179613,40,7.8,it's not about the bike: my journey back to life,lance armstrong,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433639489l/2265.jpg,3.71
0425153975,40,7.98,the eyes of darkness,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328218196l/32443.jpg,3.83
0446611778,39,7.33,last man standing,david baldacci (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388373688l/14839.jpg,4.04
0451191153,39,8.31,the fountainhead,ayn rand,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491163636l/2122.jpg,3.87
0345348109,39,8.38,the killer angels,michael shaara,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355371689l/682804.jpg,4.32
0425128164,39,7.0,the voice of the night,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308461608l/64949.jpg,3.94
0679772677,39,7.87,a civil action,jonathan harr (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436324928l/27397.jpg,3.97
0767905202,38,7.39,mr. maybe,jane green (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388258585l/31101.jpg,3.46
0679751602,38,7.58,mama makes up her mind and other dangers of southern living,bailey white,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388192613l/232733.jpg,3.95
0671027581,38,7.26,open season,linda howard,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324869940l/420734.jpg,4.0
0451155750,38,7.5,the dead zone,stephen king (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1283509622l/11573.jpg,3.93
0515127833,36,7.53,river's end,nora roberts (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352149256l/59805.jpg,3.99
0140280553,36,7.28,"galileo's daughter: a historical memoir of science, faith and love",dava sobel,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414607526l/18646.jpg,3.75
0425166619,36,7.06,toxin,robin cook (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388501073l/66473.jpg,3.8
0440241162,35,7.03,nerd in shining armor,vicki lewis thompson (goodreads author),Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183102l/342999.jpg,3.62
0425181103,35,7.66,phantoms,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925458l/32435.jpg,3.94
038548951X,35,8.83,sister of my heart,chitra banerjee divakaruni (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403188554l/16235.jpg,3.99
0440122090,35,7.86,echoes,maeve binchy,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920834l/34301.jpg,3.81
0425189031,35,7.6,portrait in death,j.d. robb (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541719256l/268604.jpg,4.37
0345459202,35,8.06,big stone gap,adriana trigiani (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390406115l/58822.jpg,3.85
0385722435,34,8.18,ella minnow pea: a novel in letters,mark dunn,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479697890l/16200.jpg,3.87
0553265741,34,7.59,sacred sins,nora roberts (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403193569l/682156.jpg,3.87
0440236738,34,7.88,gone for good,harlan coben (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200178l/43930.jpg,4.1
0345366239,34,7.97,the eight,katherine neville,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388263286l/113310.jpg,3.91
067168390X,33,9.21,lonesome dove,larry mcmurtry,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559668037l/256008.jpg,4.48
0449203794,33,7.82,space,james a. michener,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600889275l/644949.jpg,3.97
0767902890,33,7.91,the things they carried,tim o'brien,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424663847l/133518.jpg,4.13
0441783589,32,7.78,starship troopers,robert a. heinlein,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533117961l/17214.jpg,4.0
0449213943,32,8.53,all quiet on the western front,erich maria remarque,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441227765l/355697.jpg,3.98
0743439740,32,8.5,"every breath you take: a true story of obsession, revenge, and murder",ann rule,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920654l/266346.jpg,4.02
039480001X,32,9.31,the cat in the hat,dr. seuss,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477l/233093.jpg,4.17
0446611638,32,8.09,lost light,michael connelly (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388241213l/126507.jpg,4.18
0767903382,32,7.97,tender at the bone: growing up at the table,ruth reichl,Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388325309l/53645.jpg,4.07
0345301110,32,7.56,story of o,pauline réage,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464369941l/40483.jpg,3.32
0345396936,32,7.66,cry to heaven,anne rice,Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385216547l/31335.jpg,3.85
0875421180,32,8.41,wicca: a guide for the solitary practitioner,scott cunningham,Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347491489l/180930.jpg,4.01
0425161242,31,7.71,chromosome 6,robin cook (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290140777l/66470.jpg,3.9
0553575384,31,8.26,to say nothing of the dog,connie willis,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469410460l/77773.jpg,4.13
0671744216,31,8.1,the secret,julie garwood (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312123398l/107770.jpg,4.26
068483376X,31,8.16,succulent wild woman,s.a.r.k.,Romance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441651299l/164836.jpg,4.14
0553278223,30,8.6,the martian chronicles,ray bradbury,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049948l/76778.jpg,4.14
051512317X,30,8.03,rising tides,nora roberts (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388252959l/534733.jpg,4.17
0425189864,30,7.87,mortal prey,john sandford,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421292490l/85310.jpg,4.24
1573226521,30,7.9,the beach,alex garland,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348547768l/607639.jpg,3.94
0446611913,30,8.0,up country,nelson demille (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388288352l/33820.jpg,4.03
0451167805,30,7.8,firestarter,stephen king (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592553161l/233667.jpg,3.89
0671743058,30,8.27,boy's life,robert r. mccammon,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314302694l/11553.jpg,4.36
0446611239,30,7.8,the cabinet of curiosities,douglas preston (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1169235779l/39031.jpg,4.24
0440487617,30,8.4,a wind in the door,madeleine l'engle,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327464177l/18130.jpg,4.0
0552999458,29,7.17,dead famous,ben elton,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388404160l/8826.jpg,3.65
0515134279,29,8.07,the straw men,michael marshall,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309212413l/128642.jpg,3.89
0553283685,29,8.21,hyperion,dan simmons,Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405546838l/77566.jpg,4.23
0553583441,29,7.48,touching evil,kay hooper,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389280506l/625156.jpg,4.23
0671673688,29,7.07,while my pretty one sleeps,mary higgins clark,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421102605l/571555.jpg,3.9
051511779X,29,7.9,born in shame,nora roberts (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388237862l/98405.jpg,4.09
0679723110,29,7.9,grendel,john gardner,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347871284l/676737.jpg,3.69
0441627404,29,7.93,the once and future king,t.h. white,Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338741283l/43545.jpg,4.05
0142001821,28,8.0,the passion of artemisia,susan vreeland,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311648181l/98048.jpg,3.88
0425178579,28,7.75,betrayal in death,j.d. robb (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388255545l/762064.jpg,4.31
0425181111,28,7.57,strangers,dean koontz (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308458895l/15676.jpg,4.0
0451210743,28,7.75,hornet flight,ken follett (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309202400l/92375.jpg,3.9
0425179672,28,7.46,the river king,alice hoffman (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349053387l/165818.jpg,3.71
0156007479,28,7.86,slammerkin,emma donoghue (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315155075l/44543.jpg,3.72
0515114693,28,8.25,born in fire,nora roberts (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388252961l/114145.jpg,4.22
0425178951,28,7.61,deep south,nevada barr,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388263738l/76703.jpg,3.93
0553562738,28,8.71,doomsday book,connie willis,Science Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403972500l/24983.jpg,4.03
0679457313,27,7.59,the god of small things,arundhati roy (goodreads author),Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590282886l/9777.jpg,3.94
0553582364,27,7.44,a traitor to memory,elizabeth george (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388177926l/227592.jpg,3.94
0399142789,27,8.37,"conversations with god: an uncommon dialogue, book 1",neale donald walsch,Self Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327944254l/15015.jpg,4.17
0425132951,27,7.07,the house of thunder,leigh nichols (pseudonym),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389299860l/228220.jpg,3.79
081297106X,27,8.52,reading lolita in tehran: a memoir in books,azar nafisi (goodreads author),Biography & Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397751318l/7603.jpg,3.62
0553295977,26,7.92,carnal innocence,nora roberts (goodreads author),Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349032484l/59807.jpg,3.93
0425141233,26,8.08,winter prey,john sandford,Mystery & Thriller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388204668l/37304.jpg,4.26
0743406176,26,7.81,if only it were true,marc levy (goodreads author),Fantasy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388640758l/386887.jpg,3.68
0449213447,26,8.12,the chosen,chaim potok,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403191327l/187181.jpg,4.04
0140067779,26,7.92,obasan,joy kogawa,Historical Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377137187l/952284.jpg,3.65
